time,open,high,low,close,DH,DL,WH,WL,MH,ML,Volume,Volume MA
1255440600,23,24.07001,22.73999,22.98999,NaN,NaN,24.07001,20.98,NaN,NaN,NaN,NaN
1255527000,22.08,22.89,21.54999,22.85999,NaN,NaN,24.07001,20.98,NaN,NaN,NaN,NaN
1255613400,23.50999,23.53,21.48999,21.71999,NaN,NaN,24.07001,20.98,NaN,NaN,NaN,NaN
1255699800,21.72,22.60001,20.98,21.42999,NaN,NaN,24.07001,20.98,NaN,NaN,NaN,NaN
1255959000,21.41,22.46001,20.90999,21.48999,NaN,NaN,22.77,20.09999,NaN,NaN,NaN,NaN
1256045400,21.55,21.75999,20.89999,20.89999,NaN,NaN,22.77,20.09999,NaN,NaN,NaN,NaN
1256131800,20.89999,22.48,20.09999,22.21999,NaN,NaN,22.77,20.09999,NaN,NaN,NaN,NaN
1256218200,22.22,22.77,20.32999,20.68999,NaN,NaN,22.77,20.09999,NaN,NaN,NaN,NaN
1256304600,20.7,22.59,20.34,22.26999,NaN,NaN,22.77,20.09999,NaN,NaN,NaN,NaN
1256563800,23.06,24.86,21.89,24.31,NaN,NaN,31.59,21.89,NaN,NaN,NaN,NaN
1256650200,24.38,25.22,24.03,24.82999,NaN,NaN,31.59,21.89,NaN,NaN,NaN,NaN
1256736600,24.83,27.94,24.82999,27.90999,NaN,NaN,31.59,21.89,NaN,NaN,NaN,NaN
1256823000,27.16,27.19,24.67999,24.75999,NaN,NaN,31.59,21.89,NaN,NaN,NaN,NaN
1256909400,24.75999,31.59,24.75999,30.68999,NaN,NaN,31.59,21.89,NaN,NaN,NaN,NaN
1257172200,30.7,31.84,28.06999,29.78,NaN,NaN,31.84,24.06,NaN,NaN,NaN,NaN
1257258600,30.62,30.8,28.76999,28.81,NaN,NaN,31.84,24.06,NaN,NaN,NaN,NaN
1257345000,28.81,28.81,26.60999,27.71999,NaN,NaN,31.84,24.06,NaN,NaN,NaN,NaN
1257431400,27.28,27.39,25.40999,25.42999,NaN,NaN,31.84,24.06,NaN,NaN,NaN,NaN
1257517800,26.17,26.17,24.06,24.18999,NaN,NaN,31.84,24.06,NaN,NaN,NaN,NaN
1257777000,24.19,24.24001,22.78,23.14999,NaN,NaN,24.61,21.60999,NaN,NaN,NaN,NaN
1257863400,23.14999,23.53,22.78,22.84,NaN,NaN,24.61,21.60999,NaN,NaN,NaN,NaN
1257949800,22.84,23.67999,21.60999,23.03999,NaN,NaN,24.61,21.60999,NaN,NaN,NaN,NaN
1258036200,23.03999,24.61,22.90999,24.23999,NaN,NaN,24.61,21.60999,NaN,NaN,NaN,NaN
1258122600,24.25,24.42999,23.21999,23.35999,NaN,NaN,24.61,21.60999,NaN,NaN,NaN,NaN
1258381800,23.36,23.42,22.01999,22.89,NaN,NaN,24.2,19.76999,NaN,NaN,NaN,NaN
1258468200,22.81,23.33,22.26999,22.40999,NaN,NaN,24.2,19.76999,NaN,NaN,NaN,NaN
1258554600,22.35001,22.64999,21.62999,21.62999,NaN,NaN,24.2,19.76999,NaN,NaN,NaN,NaN
1258641000,21.63,24.2,21.62999,22.62999,NaN,NaN,24.2,19.76999,NaN,NaN,NaN,NaN
1258727400,23.45,23.45,19.76999,22.18999,NaN,NaN,24.2,19.76999,NaN,NaN,NaN,NaN
1258986600,21.98,21.98,20.89999,21.15999,NaN,NaN,25.92999,20.04999,NaN,NaN,NaN,NaN
1259073000,21.28,21.87,20.34999,20.46999,NaN,NaN,25.92999,20.04999,NaN,NaN,NaN,NaN
1259159400,20.23,20.57001,20.04999,20.48,NaN,NaN,25.92999,20.04999,NaN,NaN,NaN,NaN
1259332200,25.75,25.92999,23.12,24.84999,NaN,NaN,25.92999,20.04999,NaN,NaN,NaN,NaN
1259591400,24.95,25.57001,24.18999,24.50999,NaN,NaN,25.57001,20.60999,NaN,NaN,NaN,NaN
1259677800,24.50999,24.50999,21.87999,21.92,NaN,NaN,25.57001,20.60999,NaN,NaN,NaN,NaN
1259764200,21.89,22.19,21.00999,21.12,NaN,NaN,25.57001,20.60999,NaN,NaN,NaN,NaN
1259850600,21.14999,22.5,20.60999,22.45999,NaN,NaN,25.57001,20.60999,NaN,NaN,NaN,NaN
1259937000,21.17999,22.75999,20.62,21.25,NaN,NaN,25.57001,20.60999,NaN,NaN,NaN,NaN
1260196200,22.32001,22.46001,21.59999,22.09999,NaN,NaN,24.2,21.39,NaN,NaN,NaN,NaN
1260282600,23.28,23.97,22.84,23.68999,NaN,NaN,24.2,21.39,NaN,NaN,NaN,NaN
1260369000,23.21001,24.2,22.53999,22.65999,NaN,NaN,24.2,21.39,NaN,NaN,NaN,NaN
1260455400,22.66,22.66,21.76999,22.31999,NaN,NaN,24.2,21.39,NaN,NaN,NaN,NaN
1260541800,21.45,22.31,21.39,21.59,NaN,NaN,24.2,21.39,NaN,NaN,NaN,NaN
1260801000,21.59,21.59,20.56999,21.14999,NaN,NaN,23.02,20.45999,NaN,NaN,NaN,NaN
1260887400,21.09,21.87,20.90999,21.48999,NaN,NaN,23.02,20.45999,NaN,NaN,NaN,NaN
1260973800,21.5,21.5,20.45999,20.53999,NaN,NaN,23.02,20.45999,NaN,NaN,NaN,NaN
1261060200,21.89,22.86,21.39999,22.50999,NaN,NaN,23.02,20.45999,NaN,NaN,NaN,NaN
1261146600,21.84,23.02,21.67999,21.67999,NaN,NaN,23.02,20.45999,NaN,NaN,NaN,NaN
1261405800,21.46001,21.50999,20.28,20.48999,NaN,NaN,21.50999,16.25999,NaN,NaN,NaN,NaN
1261492200,20.39,20.39999,16.25999,19.53999,NaN,NaN,21.50999,16.25999,NaN,NaN,NaN,NaN
1261578600,19.53999,19.97,19.34999,19.70999,NaN,NaN,21.50999,16.25999,NaN,NaN,NaN,NaN
1261665000,19.67,19.67,19.25,19.46999,NaN,NaN,21.50999,16.25999,NaN,NaN,NaN,NaN
1262010600,20.28999,20.53,19.89999,19.92999,NaN,NaN,21.83,19.62,NaN,NaN,NaN,NaN
1262097000,19.87,20.12,19.62,20.00999,NaN,NaN,21.83,19.62,NaN,NaN,NaN,NaN
1262183400,20.36,20.44,19.92999,19.95999,NaN,NaN,21.83,19.62,NaN,NaN,NaN,NaN
1262269800,19.96001,21.83,19.89,21.67999,NaN,NaN,21.83,19.62,NaN,NaN,NaN,NaN
1262615400,21.67999,21.67999,20.03,20.03999,NaN,NaN,21.67999,18.10999,NaN,NaN,NaN,NaN
1262701800,20.05,20.13,19.34,19.34999,NaN,NaN,21.67999,18.10999,NaN,NaN,NaN,NaN
1262788200,19.59,19.67999,18.76999,19.15999,NaN,NaN,21.67999,18.10999,NaN,NaN,NaN,NaN
