Category: All categories

Month,Amazon: (United States)
2012-05,40
2012-06,40
2012-07,41
2012-08,42
2012-09,44
2012-10,42
2012-11,57
2012-12,67
2013-01,52
2013-02,48
2013-03,48
2013-04,46
2013-05,47
2013-06,49
2013-07,53
2013-08,54
2013-09,50
2013-10,47
2013-11,59
2013-12,77
2014-01,53
2014-02,49
2014-03,48
2014-04,48
2014-05,50
2014-06,50
2014-07,51
2014-08,53
2014-09,51
2014-10,52
2014-11,63
2014-12,75
2015-01,55
2015-02,51
2015-03,51
2015-04,50
2015-05,51
2015-06,56
2015-07,63
2015-08,61
2015-09,57
2015-10,59
2015-11,72
2015-12,83
2016-01,54
2016-02,51
2016-03,49
2016-04,50
2016-05,49
2016-06,51
2016-07,58
2016-08,57
2016-09,51
2016-10,54
2016-11,67
2016-12,76
2017-01,58
2017-02,57
2017-03,56
2017-04,57
2017-05,59
2017-06,58
2017-07,67
2017-08,67
2017-09,63
2017-10,66
2017-11,78
2017-12,88
2018-01,68
2018-02,64
2018-03,64
2018-04,60
2018-05,61
2018-06,62
2018-07,72
2018-08,67
2018-09,60
2018-10,64
2018-11,77
2018-12,88
2019-01,65
2019-02,62
2019-03,63
2019-04,61
2019-05,65
2019-06,70
2019-07,76
2019-08,76
2019-09,68
2019-10,71
2019-11,84
2019-12,97
2020-01,72
2020-02,71
2020-03,85
2020-04,93
2020-05,92
2020-06,83
2020-07,85
2020-08,76
2020-09,77
2020-10,84
2020-11,83
2020-12,100
2021-01,80
2021-02,77
2021-03,75
2021-04,80
2021-05,70
2021-06,79
2021-07,70
2021-08,71
2021-09,70
2021-10,73
2021-11,80
2021-12,92
2022-01,78
2022-02,73
2022-03,72
2022-04,69
2022-05,74
