Category: All categories

Month,NASDAQ:TSLA: (United States)
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,2
2013-03,1
2013-04,3
2013-05,11
2013-06,8
2013-07,9
2013-08,14
2013-09,10
2013-10,13
2013-11,16
2013-12,10
2014-01,9
2014-02,17
2014-03,12
2014-04,9
2014-05,10
2014-06,8
2014-07,8
2014-08,8
2014-09,9
2014-10,9
2014-11,7
2014-12,6
2015-01,6
2015-02,8
2015-03,7
2015-04,8
2015-05,8
2015-06,6
2015-07,7
2015-08,8
2015-09,6
2015-10,7
2015-11,6
2015-12,4
2016-01,5
2016-02,8
2016-03,8
2016-04,12
2016-05,8
2016-06,9
2016-07,8
2016-08,7
2016-09,6
2016-10,8
2016-11,8
2016-12,7
2017-01,8
2017-02,12
2017-03,9
2017-04,13
2017-05,14
2017-06,15
2017-07,16
2017-08,14
2017-09,8
2017-10,10
2017-11,14
2017-12,8
2018-01,9
2018-02,9
2018-03,12
2018-04,16
2018-05,17
2018-06,17
2018-07,18
2018-08,37
2018-09,29
2018-10,34
2018-11,15
2018-12,13
2019-01,18
2019-02,16
2019-03,23
2019-04,28
2019-05,31
2019-06,24
2019-07,21
2019-08,13
2019-09,11
2019-10,18
2019-11,16
2019-12,18
2020-01,44
2020-02,79
2020-03,48
2020-04,39
2020-05,32
2020-06,34
2020-07,74
2020-08,63
2020-09,100
2020-10,53
2020-11,51
2020-12,71
2021-01,68
2021-02,61
2021-03,66
2021-04,56
2021-05,47
2021-06,37
2021-07,37
2021-08,31
2021-09,26
2021-10,57
2021-11,77
2021-12,52
2022-01,61
2022-02,47
2022-03,53
2022-04,58
2022-05,60
