Category: All categories

Month,Meta: (United States)
2012-05,87
2012-06,89
2012-07,84
2012-08,82
2012-09,79
2012-10,97
2012-11,100
2012-12,100
2013-01,98
2013-02,97
2013-03,91
2013-04,94
2013-05,92
2013-06,93
2013-07,90
2013-08,87
2013-09,81
2013-10,75
2013-11,81
2013-12,80
2014-01,71
2014-02,71
2014-03,70
2014-04,71
2014-05,70
2014-06,68
2014-07,70
2014-08,72
2014-09,66
2014-10,64
2014-11,64
2014-12,62
2015-01,63
2015-02,62
2015-03,60
2015-04,62
2015-05,63
2015-06,60
2015-07,59
2015-08,58
2015-09,58
2015-10,55
2015-11,57
2015-12,54
2016-01,67
2016-02,64
2016-03,62
2016-04,64
2016-05,66
2016-06,65
2016-07,64
2016-08,58
2016-09,55
2016-10,57
2016-11,51
2016-12,52
2017-01,53
2017-02,54
2017-03,50
2017-04,50
2017-05,51
2017-06,51
2017-07,51
2017-08,53
2017-09,47
2017-10,45
2017-11,44
2017-12,42
2018-01,39
2018-02,38
2018-03,38
2018-04,37
2018-05,36
2018-06,38
2018-07,38
2018-08,36
2018-09,35
2018-10,32
2018-11,31
2018-12,33
2019-01,31
2019-02,29
2019-03,30
2019-04,29
2019-05,31
2019-06,30
2019-07,31
2019-08,29
2019-09,27
2019-10,27
2019-11,27
2019-12,27
2020-01,25
2020-02,25
2020-03,26
2020-04,27
2020-05,25
2020-06,26
2020-07,24
2020-08,24
2020-09,21
2020-10,22
2020-11,22
2020-12,22
2021-01,22
2021-02,20
2021-03,20
2021-04,19
2021-05,19
2021-06,19
2021-07,15
2021-08,19
2021-09,17
2021-10,6
2021-11,2
2021-12,2
2022-01,38
2022-02,38
2022-03,37
2022-04,39
2022-05,40
