Category: All categories

Month,tesla: (United States)
2012-05,8
2012-06,8
2012-07,8
2012-08,8
2012-09,8
2012-10,8
2012-11,12
2012-12,9
2013-01,9
2013-02,13
2013-03,12
2013-04,14
2013-05,24
2013-06,18
2013-07,19
2013-08,24
2013-09,19
2013-10,19
2013-11,20
2013-12,15
2014-01,14
2014-02,19
2014-03,21
2014-04,20
2014-05,19
2014-06,20
2014-07,22
2014-08,19
2014-09,19
2014-10,25
2014-11,16
2014-12,15
2015-01,20
2015-02,19
2015-03,20
2015-04,20
2015-05,27
2015-06,21
2015-07,22
2015-08,24
2015-09,26
2015-10,26
2015-11,20
2015-12,18
2016-01,20
2016-02,24
2016-03,27
2016-04,55
2016-05,26
2016-06,25
2016-07,28
2016-08,22
2016-09,23
2016-10,27
2016-11,25
2016-12,23
2017-01,23
2017-02,25
2017-03,25
2017-04,31
2017-05,32
2017-06,30
2017-07,46
2017-08,37
2017-09,31
2017-10,30
2017-11,48
2017-12,35
2018-01,34
2018-02,45
2018-03,34
2018-04,34
2018-05,38
2018-06,36
2018-07,40
2018-08,45
2018-09,47
2018-10,46
2018-11,37
2018-12,41
2019-01,37
2019-02,38
2019-03,53
2019-04,48
2019-05,50
2019-06,51
2019-07,47
2019-08,43
2019-09,43
2019-10,46
2019-11,100
2019-12,57
2020-01,57
2020-02,73
2020-03,52
2020-04,39
2020-05,47
2020-06,56
2020-07,77
2020-08,77
2020-09,94
2020-10,66
2020-11,60
2020-12,72
2021-01,84
2021-02,82
2021-03,76
2021-04,80
2021-05,74
2021-06,69
2021-07,66
2021-08,64
2021-09,61
2021-10,71
2021-11,81
2021-12,72
2022-01,74
2022-02,69
2022-03,88
2022-04,85
2022-05,76
